What type of vehicle do you use?,What is the fuel type of your vehicle,How often do you use your vehicle?,How would you describe your driving style,How often do you accelerate quickly?,How often do you apply sudden brakes?,What is your average driving speed?,What type of traffic do you usually experience?,How often do you face traffic congestion?,Do you often drive in stop-and-go traffic?,How would you rate your vehicle’s fuel consumption?,How often do you refuel your vehicle?,Approximately how much fuel do you use per week?,Do you think your driving behavior affects fuel consumption?,Are you using the QR-based fuel system?,Is the allocated fuel sufficient for your weekly needs?,Has fuel limitation changed your travel behavior?,What changes have you made due to fuel limits?,Distance (km)
5,1,Daily,3,Often,Often,2,3,Frequently,Yes,2,Once a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,90
1,1,Daily,2,Never,Sometimes,2,3,Frequently,Yes,3,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,110
5,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,Yes,Reduced travel,205
1,1,Daily,1,Never,Never,2,2,Sometimes,No,2,Once a week,21–40 Liters,Yes,Yes,Yes,No,No change,357
4,1,Occasionally,3,Often,Often,3,2,Frequently,No,3,Once a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,498
5,1,Several times a week,2,Sometimes,Sometimes,3,2,Sometimes,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,111
1,1,Daily,2,Never,Sometimes,3,3,Frequently,Yes,3,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,181
1,2,Several times a week,2,Sometimes,Sometimes,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,227
3,1,Several times a week,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,710
5,1,Several times a week,1,Never,Never,2,2,Sometimes,No,1,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,93
1,2,Daily,2,Sometimes,Never,2,2,Sometimes,No,1,Once a week,10–20 Liters,Not sure,Yes,Yes,No,No change,297
5,1,Daily,1,Sometimes,Never,1,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,210
4,1,Daily,1,Never,Never,1,2,Frequently,Yes,2,More than twice,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,320
1,1,Daily,1,Never,Never,1,3,Frequently,Yes,2,Twice a week,10–20 Liters,Yes,No,Yes,No,No change,230
1,1,Daily,3,Often,Sometimes,4,2,Frequently,No,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Driving more carefully,421
1,2,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,Yes,Driving more carefully,167
3,2,Daily,1,Sometimes,Never,2,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,567
4,1,Several times a week,2,Often,Sometimes,3,3,Frequently,Yes,2,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,413
3,1,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Once a week,21–40 Liters,No,Yes,No,Yes,Reduced travel,435
2,2,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,125
1,1,Daily,2,Sometimes,Often,2,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,Yes,Yes,Driving more carefully,283
2,2,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,More than twice,81–100 Liters,Yes,Yes,No,Yes,Driving more carefully,368
2,2,Several times a week,2,Never,Sometimes,3,2,Sometimes,Yes,3,Twice a week,61–80 Liters,No,Yes,No,Yes,Driving more carefully,268
4,1,Several times a week,2,Never,Sometimes,2,3,Frequently,Yes,2,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Changed routes,200
1,1,Occasionally,2,Sometimes,Sometimes,3,1,Rarely,No,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Changed routes,145
1,2,Several times a week,2,Sometimes,Often,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,293
4,1,Daily,3,Often,Often,3,3,Frequently,Yes,3,Once a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,374
5,1,Daily,2,Sometimes,Sometimes,3,2,Frequently,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,124
4,1,Daily,2,Sometimes,Often,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,395
1,2,Daily,2,Sometimes,Sometimes,4,1,Rarely,No,3,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,363
1,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,338
5,1,Daily,3,Often,Often,3,2,Frequently,No,2,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Changed routes,82
5,1,Daily,2,Sometimes,Sometimes,3,1,Rarely,No,1,Twice a week,Less than 10 Liters,Yes,No,Yes,No,No change,178
1,2,Daily,2,Sometimes,Often,3,2,Sometimes,Yes,1,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,182
4,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,240
5,1,Daily,2,Often,Sometimes,3,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,No,Yes,No,No change,220
5,1,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,450
1,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,284
3,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,520
3,1,Occasionally,1,Never,Never,2,2,Sometimes,No,2,Once a week,41–60 Liters,Yes,Yes,No,Yes,Changed routes,512
1,2,Several times a week,3,Often,Often,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,245
3,2,Daily,1,Never,Never,1,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Changed routes,612
1,2,Daily,2,Often,Sometimes,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Not sure,Yes,Yes,No,No change,189
5,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,96
2,2,Occasionally,3,Often,Often,3,2,Sometimes,No,3,Once a week,61–80 Liters,Not sure,Yes,No,Yes,Reduced travel,310
5,1,Several times a week,2,Sometimes,Never,2,2,Sometimes,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,236
5,1,Several times a week,2,Never,Sometimes,2,1,Rarely,No,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Driving more carefully,320
1,2,Daily,2,Sometimes,Never,2,2,Sometimes,Yes,3,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,139
1,2,Daily,1,Never,Never,2,2,Sometimes,Yes,2,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Driving more carefully,351
1,1,Several times a week,1,Never,Never,2,2,Sometimes,Yes,2,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,399
3,2,Daily,2,Sometimes,Never,3,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,530
1,1,Daily,3,Often,Sometimes,5,1,Rarely,No,3,Twice a week,21–40 Liters,Yes,No,Yes,No,No change,490
1,2,Daily,3,Often,Often,2,3,Frequently,Yes,2,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,310
3,2,Daily,1,Never,Never,2,2,Sometimes,No,2,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,406
5,1,Daily,2,Sometimes,Never,2,1,Rarely,No,1,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,200
1,1,Several times a week,1,Never,Never,2,3,Frequently,Yes,2,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,344
4,1,Daily,2,Never,Often,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,No,Yes,No,No change,384
4,1,Several times a week,2,Sometimes,Never,2,3,Frequently,Yes,2,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,467
3,2,Daily,1,Never,Never,2,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,474
4,1,Daily,3,Sometimes,Often,4,2,Sometimes,No,3,More than twice,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,436
2,2,Daily,2,Sometimes,Often,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,142
1,2,Daily,2,Often,Sometimes,3,2,Sometimes,Yes,1,More than twice,10–20 Liters,Yes,Yes,Yes,Yes,Reduced travel,216
1,2,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,Yes,Driving more carefully,269
2,2,Occasionally,2,Sometimes,Never,2,3,Frequently,Yes,3,Once a week,61–80 Liters,Yes,Yes,No,Yes,Reduced travel,302
5,1,Daily,2,Never,Sometimes,2,3,Frequently,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,120
1,1,Daily,3,Sometimes,Often,2,3,Frequently,Yes,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,150
3,2,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,426
1,1,Daily,1,Never,Never,2,2,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,124
5,1,Several times a week,2,Never,Never,2,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Not sure,Yes,No,Yes,Reduced travel,250
5,1,Several times a week,2,Never,Sometimes,2,3,Frequently,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,103
4,1,Daily,3,Sometimes,Often,5,2,Frequently,No,3,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,452
1,2,Daily,2,Sometimes,Never,3,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,308
1,1,Daily,2,Sometimes,Sometimes,2,2,Sometimes,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,373
1,1,Daily,1,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,247
1,1,Daily,1,Never,Never,2,2,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,136
1,2,Several times a week,3,Sometimes,Often,5,2,Sometimes,No,1,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,468
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,2,More than twice,10–20 Liters,Yes,Yes,Yes,No,No change,294
1,2,Several times a week,2,Sometimes,Sometimes,3,2,Sometimes,No,3,Once a week,21–40 Liters,Not sure,Yes,No,Yes,Reduced travel,391
5,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,122
4,1,Daily,2,Often,Sometimes,2,2,Sometimes,Yes,2,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,360
3,1,Daily,1,Never,Sometimes,1,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,430
1,2,Daily,2,Sometimes,Never,3,3,Frequently,Yes,3,Once a week,21–40 Liters,Not sure,Yes,Yes,Yes,Changed routes,337
6,2,Daily,1,Never,Never,1,3,Frequently,Yes,3,Twice a week,More than 100 Liters,Yes,Yes,Yes,No,No change,800
5,1,Daily,1,Sometimes,Never,2,2,Sometimes,No,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,220
5,1,Daily,2,Sometimes,Sometimes,3,1,Rarely,No,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,65
1,1,Daily,1,Never,Never,2,3,Frequently,Yes,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,144
1,1,Daily,2,Often,Sometimes,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,250
1,1,Daily,1,Never,Never,2,2,Sometimes,Yes,2,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,290
3,2,Daily,2,Sometimes,Sometimes,4,2,Sometimes,No,2,More than twice,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,615
3,1,Several times a week,2,Sometimes,Never,2,2,Sometimes,Yes,2,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,435
5,1,Occasionally,2,Never,Often,3,3,Frequently,Yes,1,Once a week,10–20 Liters,No,Yes,No,Yes,Reduced travel,178
4,1,Several times a week,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,426
1,2,Daily,1,Sometimes,Never,2,2,Sometimes,Yes,1,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,199
1,2,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,Yes,Yes,Yes,Driving more carefully,189
1,1,Occasionally,1,Never,Never,2,2,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,325
1,1,Daily,1,Never,Never,1,2,Sometimes,Yes,2,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,297
1,1,Daily,2,Never,Sometimes,3,1,Rarely,No,3,Twice a week,21–40 Liters,Yes,No,Yes,Yes,Changed routes,301
1,2,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,150
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,2,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,260
1,1,Daily,2,Sometimes,Never,3,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Driving more carefully,429
6,2,Daily,3,Often,Often,2,3,Frequently,Yes,3,Twice a week,81–100 Liters,Yes,Yes,No,Yes,Reduced travel,750
1,1,Several times a week,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,103
3,1,Several times a week,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,Yes,Yes,Changed routes,446
2,2,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Once a week,81–100 Liters,Not sure,Yes,No,Yes,Changed routes,403
4,1,Daily,1,Sometimes,Never,2,3,Frequently,Yes,2,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,182
1,1,Daily,2,Sometimes,Sometimes,2,1,Rarely,No,3,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,352
1,1,Daily,1,Sometimes,Sometimes,2,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,367
1,1,Daily,3,Sometimes,Often,2,3,Frequently,Yes,3,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,251
3,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,No,2,More than twice,21–40 Liters,Yes,Yes,Yes,No,No change,356
1,1,Several times a week,3,Often,Sometimes,2,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,383
2,2,Daily,3,Often,Often,4,2,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,132
3,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,389
1,1,Daily,1,Never,Never,3,2,Sometimes,No,2,Once a week,21–40  Liters,Yes,Yes,Yes,No,No change,279
1,2,Several times a week,2,Sometimes,Sometimes,4,1,Rarely,No,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,92
3,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,More than twice,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,112
4,1,Daily,1,Never,Sometimes,1,3,Frequently,Yes,3,Twice a week,10–20  Liters,Yes,Yes,No,Yes,Changed routes,421
5,1,Several times a week,2,Sometimes,Never,3,2,Sometimes,No,1,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,136
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,271
1,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Twice a week,21–40  Liters,Yes,Yes,Yes,No,No change,397
2,2,Daily,2,Sometimes,Often,2,3,Frequently,Yes,3,More than twice,61–80 Liters,Yes,Yes,No,Yes,Reduced travel,256
3,2,Several times a week,1,Never,Never,3,2,Sometimes,No,2,Once a week,41–60 Liters,Not sure,Yes,Yes,Yes,Driving more carefully,521
1,1,Occasionally,3,Often,Often,4,1,Rarely,No,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,123
5,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,2,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Changed routes,105
4,1,Daily,1,Never,Never,1,3,Frequently,Yes,2,Twice a week,10–20  Liters,Yes,Yes,Yes,No,No change,367
1,2,Several times a week,1,Never,Never,3,1,Rarely,No,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,297
1,1,Daily,3,Often,Sometimes,2,3,Frequently,Yes,3,Twice a week,10–20  Liters,Yes,Yes,No,Yes,Reduced travel,239
3,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,263
1,2,Daily,1,Never,Never,4,2,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,127
5,1,Occasionally,3,Often,Often,5,1,Rarely,No,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,201
4,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,More than twice,10–20  Liters,Not sure,Yes,No,Yes,Changed routes,428
1,2,Daily,1,Never,Never,2,2,Sometimes,Yes,1,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,179
2,2,Several times a week,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Twice a week,81–100 Liters,Yes,Yes,No,Yes,Reduced travel,510
1,1,Daily,2,Sometimes,Never,3,2,Sometimes,No,2,Once a week,21–40  Liters,Yes,Yes,Yes,No,No change,382
1,1,Several times a week,1,Never,Never,4,1,Rarely,No,2,Once a week,21–40  Liters,Yes,Yes,No,Yes,Driving more carefully,383
3,2,Daily,3,Often,Often,2,3,Frequently,Yes,3,More than twice,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,461
5,1,Daily,1,Never,Sometimes,2,2,Sometimes,Yes,1,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,219
1,2,Occasionally,1,Never,Never,3,1,Rarely,No,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,259
1,1,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Twice a week,Less than 10  Liters,Yes,Yes,No,Yes,Changed routes,158
4,1,Several times a week,2,Sometimes,Never,1,2,Sometimes,Yes,2,Once a week,10–20  Liters,Not sure,Yes,Yes,No,No change,650
1,2,Daily,1,Never,Never,4,2,Sometimes,No,2,Once a week,10–20  Liters,Yes,Yes,No,Yes,Driving more carefully,172
3,1,Daily,3,Often,Often,3,3,Frequently,Yes,3,More than twice,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,369
5,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,94
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,246
1,1,Several times a week,3,Often,Often,4,1,Rarely,No,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,110
2,2,Daily,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,More than twice,81–100 Liters,Yes,Yes,No,Yes,Reduced travel,560
4,1,Daily,1,Never,Never,1,3,Frequently,Yes,2,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Changed routes,148
1,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,2,Once a week,21–40  Liters,Yes,Yes,Yes,No,No change,385
1,2,Several times a week,1,Never,Never,4,1,Rarely,No,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,101
3,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,519
5,1,Occasionally,1,Never,Never,3,2,Sometimes,No,1,Once a week,Less than 10  Liters,No,Yes,Yes,No,No change,125
1,2,Daily,1,Never,Never,2,2,Sometimes,Yes,1,Once a week,10–20  Liters,Yes,Yes,Yes,No,No change,290
1,1,Daily,2,Sometimes,Often,2,3,Frequently,Yes,3,Twice a week,10–20  Liters,Yes,Yes,No,Yes,Changed routes,277
4,1,Daily,2,Sometimes,Sometimes,1,3,Frequently,Yes,3,Twice a week,10–20  Liters,Yes,Yes,No,Yes,Reduced travel,410
1,2,Several times a week,1,Never,Never,4,2,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,111
3,2,Daily,3,Often,Often,3,3,Frequently,Yes,3,More than twice,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,398
5,1,Daily,2,Sometimes,Never,2,2,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,131
1,2,Several times a week,1,Never,Never,3,1,Rarely,No,1,Once a week,10–20  Liters,Yes,Yes,Yes,Yes,Driving more carefully,192
1,1,Daily,3,Often,Sometimes,2,3,Frequently,Yes,3,Twice a week,10–20  Liters,Yes,Yes,No,Yes,Reduced travel,300
4,1,Daily,1,Never,Never,1,3,Frequently,Yes,2,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,305
1,2,Daily,2,Sometimes,Sometimes,4,2,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,122
3,1,Several times a week,3,Often,Often,3,3,Frequently,Yes,3,Twice a week,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,552
5,1,Daily,1,Never,Sometimes,2,2,Sometimes,Yes,1,Once a week,Less than 10  Liters,Not sure,Yes,Yes,No,No change,100
1,1,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,362
5,1,Daily,2,Sometimes,Sometimes,3,1,Rarely,No,1,Twice a week,Less than 10 Liters,Yes,No,Yes,No,No change,521
5,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,Yes,1,Twice a week,Less than 10 Liters,Yes,Yes,Yes,No,No change,122
1,1,Daily,2,Never,Sometimes,3,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Changed routes,482
5,1,Several times a week,2,Sometimes,Never,3,2,Sometimes,No,1,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,136
1,1,Daily,2,Sometimes,Never,2,3,Frequently,Yes,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,423
1,2,Daily,2,Sometimes,Sometimes,4,1,Rarely,No,3,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,397
1,1,Daily,3,Sometimes,Often,2,3,Frequently,Yes,3,Once a week,10–20 Liters,Yes,Yes,Yes,No,No change,415
3,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,More than twice,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,698
1,1,Daily,2,Sometimes,Never,3,3,Frequently,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Driving more carefully,165
5,1,Daily,2,Sometimes,Sometimes,3,1,Rarely,No,1,Once a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,65
4,1,Daily,1,Sometimes,Never,2,3,Frequently,Yes,2,Twice a week,Less than 10 Liters,Yes,Yes,No,Yes,Reduced travel,215
1,2,Daily,3,Often,Often,3,3,Frequently,Yes,3,More than twice,10–20 Liters,Yes,Yes,Yes,No,No change,184
5,1,Daily,2,Sometimes,Sometimes,3,2,Sometimes,No,2,Once a week,Less than 10  Liters,Yes,Yes,Yes,No,No change,94
1,2,Daily,2,Sometimes,Never,2,2,Sometimes,Yes,3,Twice a week,10–20 Liters,Yes,Yes,No,Yes,Driving more carefully,246
1,2,Daily,1,Never,Sometimes,1,3,Frequently,Yes,2,Once a week,21–40 Liters,Yes,No,Yes,No,No change,385
3,1,Daily,3,Often,Often,2,3,Frequently,Yes,3,More than twice,41–60 Liters,Yes,Yes,No,Yes,Reduced travel,548
5,1,Daily,1,Sometimes,Sometimes,2,1,Rarely,Yes,2,3 time per week,Less than 10  Liters,Yes,Yes,Yes,No,Reduced travel,218
1,1,Several times a week,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,154
3,1,Several times a week,2,Sometimes,Sometimes,2,3,Frequently,Yes,3,Once a week,41–60 Liters,Yes,Yes,No,Yes,Driving more carefully,710
1,2,Daily,1,Never,Never,2,3,Frequently,Yes,2,Once a week,10–20 Liters,Yes,No,Yes,No,No change,296
1,2,Daily,2,Sometimes,Sometimes,2,2,Sometimes,Yes,3,Once a week,21–40 Liters,Yes,Yes,No,Yes,Driving more carefully,420
1,1,Daily,2,Never,Never,3,2,Sometimes,Yes,3,Twice a week,10–20 Liters,Yes,Yes,Yes,No,No change,279
1,2,Daily,2,Sometimes,Sometimes,3,3,Frequently,Yes,3,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Reduced travel,148
5,1,Daily,1,Sometimes,Sometimes,2,2,Sometimes,Yes,2,More than twice,Less than 10  Liters,Not sure,Yes,No,Yes,"Reduced travel, Driving more carefully",53
1,1,Several times a week,2,Sometimes,Sometimes,2,2,Sometimes,Yes,2,Once a week,10–20  Liters,Not sure,Yes,Yes,Yes,Reduced travel,251
4,1,Daily,2,Sometimes,Sometimes,2,1,Rarely,No,2,More than twice,10–20 Liters,Yes,Yes,No,Yes,Reduced travel,348
1,2,Several times a week,2,Sometimes,Sometimes,4,1,Rarely,No,2,Once a week,Less than 10  Liters,Yes,Yes,No,Yes,Driving more carefully,142
1,1,Daily,1,Sometimes,Never,1,3,Frequently,Yes,2,Once a week,21–40 Liters,Not sure,Yes,No,Yes,Reduced travel,369
5,1,Daily,2,Sometimes,Sometimes,2,1,Sometimes,Yes,2,Once a week,Less than 10  Liters,Yes,No,Yes,Yes,Reduced travel,190
5,1,Daily,2,Often,Sometimes,3,3,Frequently,Yes,1,Once a week,Less than 10 Liters,Yes,No,Yes,No,No change,220
1,2,Daily,3,Sometimes,Sometimes,4,1,Rarely,No,3,Twice a week,21–40 Liters,Yes,Yes,No,Yes,Reduced travel,388
3,2,Daily,1,Sometimes,Never,1,1,Rarely,No,2,Twice a week,21–40 Liters,Yes,Yes,Yes,No,No change,310
